lat,lon,count
43.125,-98.543,36
43.125,-98.539,60
43.126,-96.965,9
43.127,-102.099,17
43.127,-101.732,7
43.127,-100.884,42
43.128,-102.1,10
43.128,-102.099,17
43.128,-100.885,7
43.129,-102.652,15
43.129,-102.419,9
43.13,-102.42,22
43.13,-98.496,10
43.131,-102.648,6
43.131,-102.075,9
43.131,-101.37,7
43.132,-96.95,41
43.132,-96.796,6
43.134,-101.364,11
43.134,-100.912,15
43.135,-101.495,19
43.135,-101.384,64
43.135,-101.376,6
43.135,-101.375,7
43.135,-101.372,18
43.135,-101.371,7
43.135,-101.37,26
43.135,-101.369,32
43.135,-101.367,19
43.135,-101.36,12
43.135,-100.915,15
43.135,-100.911,9
43.135,-98.55,62
43.135,-96.947,83
43.136,-101.375,23
43.136,-101.374,21
43.136,-101.373,6
43.136,-101.372,24
43.136,-96.796,20
43.137,-99.234,44
43.137,-96.796,8
43.137,-96.795,6
43.137,-96.662,35
43.138,-102.369,92
43.139,-101.029,18
43.14,-101.496,9
43.14,-101.495,12
43.14,-101.03,51
43.14,-99.235,25
43.14,-99.17,9
43.14,-98.706,11
43.14,-98.536,28
43.141,-97.97,8
43.142,-102.367,6
43.142,-101.494,20
43.142,-100.899,16
43.142,-96.967,8
43.142,-96.963,22
43.142,-96.796,6
43.143,-96.796,13
43.144,-99.247,7
43.146,-100.9,13
43.148,-100.909,33
43.149,-100.61,7
43.149,-97.714,8
43.149,-96.796,12
43.15,-96.795,7
43.151,-99.273,8
43.151,-96.796,7
43.152,-103.328,8
43.152,-98.54,26
43.152,-98.539,87
43.152,-96.804,43
43.153,-98.541,6
43.153,-98.538,7
43.155,-99.264,15
43.155,-98.539,110
43.155,-97.714,105
43.155,-97.71,17
43.156,-101.494,6
43.156,-97.709,52
43.156,-96.795,8
43.157,-99.27,9
43.157,-98.531,33
43.157,-98.53,32
43.157,-96.795,7
43.158,-101.761,11
43.158,-96.795,8
43.159,-98.537,13
43.159,-97.159,61
43.159,-96.709,6
43.16,-96.795,12
43.161,-101.695,9
43.162,-97.724,22
43.162,-97.071,38
43.162,-97.065,63
43.164,-101.741,10
43.165,-101.745,10
43.165,-101.732,13
43.165,-97.399,39
43.165,-96.795,17
43.166,-96.795,8
43.167,-102.387,6
43.167,-97.081,7
43.167,-96.795,8
43.168,-102.727,10
43.168,-101.923,7
43.168,-97.082,14
43.168,-96.796,9
43.169,-101.737,69
43.169,-101.729,10
43.169,-101.728,6
43.169,-97.1,16
43.169,-97.098,22
43.169,-97.084,40
43.169,-97.082,29
43.169,-97.081,13
43.169,-97.078,16
43.169,-97.077,23
43.169,-97.071,34
43.17,-101.745,10
43.17,-101.73,12
43.17,-101.728,17
43.17,-101.727,57
43.17,-101.726,6
43.17,-101.355,6
43.17,-97.1,52
43.17,-97.085,7
43.17,-97.084,41
43.17,-97.083,10
43.17,-97.082,140
43.17,-97.081,246
43.17,-97.08,63
43.17,-97.079,19
43.17,-97.078,20
43.17,-97.077,57
43.17,-97.076,29
43.17,-97.075,37
43.17,-97.074,13
43.17,-97.073,16
43.17,-97.072,30
43.17,-97.071,11
43.17,-96.795,8
43.171,-102.389,634
43.171,-102.388,22
43.171,-101.732,29
43.171,-101.731,17
43.171,-101.729,19
43.171,-101.705,39
43.171,-97.085,113
43.171,-97.084,40
43.171,-97.083,64
43.171,-97.082,11
43.171,-97.081,67
43.171,-97.08,163
43.172,-101.735,7
43.172,-101.734,46
43.172,-101.733,31
43.172,-101.732,443
43.172,-101.731,6
43.172,-101.73,9
43.172,-97.085,6
43.172,-97.083,7
43.172,-97.081,22
43.172,-97.08,32
43.173,-102.415,6
43.173,-101.963,28
43.173,-101.739,10
43.173,-101.732,53
43.173,-101.729,7
43.173,-101.709,25
43.173,-99.712,140
43.173,-97.085,7
43.173,-97.082,112
43.173,-97.081,32
43.173,-97.08,15
43.173,-97.079,7
43.174,-101.737,14
43.174,-99.283,10
43.174,-97.08,40
43.174,-97.077,15
43.175,-101.738,11
43.175,-99.29,12
43.175,-97.083,6
43.175,-97.082,17
43.175,-97.081,14
43.175,-97.08,16
43.175,-96.795,7
43.176,-101.741,324
43.176,-99.287,11
43.176,-96.795,7
43.177,-99.29,6
43.178,-101.721,10
43.178,-101.718,28
43.178,-101.717,65
43.178,-99.292,10
43.178,-99.29,7
43.178,-97.419,13
43.178,-96.845,12
43.179,-103.82,55
43.179,-103.819,81
43.179,-101.732,19
43.179,-99.769,17
43.179,-97.419,13
43.179,-96.795,8
43.18,-97.419,19
43.181,-103.229,66
43.181,-102.747,547
43.181,-102.745,81
43.181,-102.744,29
43.182,-99.299,6
43.182,-99.296,22
43.182,-99.292,8
43.182,-96.795,10
43.183,-99.305,6
43.183,-99.304,100
43.184,-102.994,12
43.184,-99.304,121
43.184,-99.298,76
43.184,-97.971,6
43.184,-96.668,14
43.185,-101.732,14
43.185,-99.296,8
43.185,-97.393,44
43.186,-103.114,8
43.186,-99.298,6
43.186,-99.295,6
43.187,-97.84,104
43.188,-103.795,31
43.188,-103.794,6
43.188,-103.79,6
43.188,-103.78,10
43.188,-103.76,13
43.188,-103.753,10
43.188,-102.325,24
43.188,-97.84,33
43.189,-103.76,9
43.189,-102.739,10
43.19,-103.78,6
43.19,-103.76,7
43.19,-97.419,18
43.191,-103.832,6
43.191,-103.76,13
43.191,-102.735,90
43.191,-101.73,25
43.191,-96.795,8
43.192,-103.833,6
43.193,-97.419,22
43.194,-103.833,7
